Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2012-10-30,27-305,MIA,,BOS,W (+13),1,28:52,.714,.688,4.3,39.4,21.6,18.9,3.5,0.0,0.0,29.9,145,107,25.1,15.1
2,2,2012-11-02,27-308,MIA,@,NYK,L (-20),1,36:41,.617,.563,0.0,19.5,11.2,29.0,0.0,8.2,21.2,31.7,104,114,16.5,7.5
3,3,2012-11-03,27-309,MIA,,DEN,W (+3),1,39:12,.533,.471,3.4,22.8,13.9,40.6,0.0,3.3,0.0,22.3,134,122,22.7,6.3
4,4,2012-11-05,27-311,MIA,,PHO,W (+25),1,30:11,.628,.647,13.6,24.5,20.1,5.1,0.0,0.0,14.1,31.0,108,101,15.7,-1.6
5,5,2012-11-07,27-313,MIA,,BRK,W (+30),1,29:59,.727,.667,18.3,28.5,24.0,44.5,1.8,0.0,12.7,26.3,149,78,23.8,20.3
6,6,2012-11-09,27-315,MIA,@,ATL,W (+6),1,35:40,.573,.588,7.3,34.6,20.6,51.4,1.5,0.0,9.8,28.2,121,98,20.9,11.3
7,7,2012-11-11,27-317,MIA,@,MEM,L (-18),1,35:43,.482,.526,8.6,24.1,15.6,48.7,3.0,2.2,8.8,28.4,102,109,17.4,9.4
8,8,2012-11-12,27-318,MIA,@,HOU,W (+3),1,39:55,.644,.635,2.9,25.8,14.3,25.6,0.0,0.0,0.0,32.6,143,119,31.4,16.5
9,9,2012-11-14,27-320,MIA,@,LAC,L (-7),1,41:13,.556,.522,0.0,17.1,7.9,38.8,1.2,4.6,12.9,33.2,109,115,21.1,5.6
10,10,2012-11-15,27-321,MIA,@,DEN,W (+5),1,41:57,.527,.478,3.6,15.3,10.4,58.6,1.3,5.0,13.5,35.7,112,106,24.9,10.5
11,11,2012-11-17,27-323,MIA,@,PHO,W (+9),1,40:43,.455,.425,0.0,20.1,11.2,12.4,2.5,0.0,4.2,28.9,94,94,13.8,-1.0
12,12,2012-11-21,27-327,MIA,,MIL,W (+7),1,42:32,.571,.571,5.8,17.2,12.3,36.5,1.2,1.6,3.9,27.5,127,101,25.0,10.4
