Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2006-11-01,21-306,CLE,,WAS,W (+3),1,40:38,.488,.500,8.9,19.2,14.2,24.6,0.0,3.7,15.8,34.9,98,104,15.3,2.9
2,2,2006-11-03,21-308,CLE,@,SAS,W (+7),1,41:53,.567,.558,2.7,22.4,12.9,27.0,1.3,2.1,6.1,38.3,112,90,25.1,14.5
3,3,2006-11-04,21-309,CLE,@,CHA,L (-4),1,38:06,.460,.269,12.6,15.7,14.2,38.0,0.0,2.2,10.3,22.5,114,102,15.6,8.3
4,4,2006-11-07,21-312,CLE,,ATL,L (-9),1,47:17,.551,.558,0.0,24.5,9.1,36.5,2.3,1.7,6.1,31.1,117,105,25.2,14.1
5,5,2006-11-09,21-314,CLE,,CHI,W (+19),1,37:50,.575,.462,0.0,10.6,6.6,40.7,4.1,3.4,15.4,24.1,124,92,22.9,11.4
6,6,2006-11-11,21-316,CLE,,BOS,W (+1),1,43:32,.701,.559,2.7,17.9,10.5,26.2,3.5,0.0,6.9,31.1,141,96,33.8,16.5
7,7,2006-11-13,21-318,CLE,@,NYK,W (+6),1,41:20,.632,.605,0.0,12.6,6.0,28.6,2.6,1.8,11.6,29.2,125,105,22.8,11.1
8,8,2006-11-15,21-320,CLE,,POR,W (+13),1,38:54,.806,.767,0.0,21.6,11.7,39.9,2.7,2.2,16.8,27.8,143,90,29.6,19.6
9,9,2006-11-17,21-322,CLE,,MIN,W (+16),1,40:30,.613,.542,6.2,20.2,13.5,40.0,1.3,3.6,11.7,39.2,123,83,29.5,17.6
10,10,2006-11-18,21-323,CLE,@,WAS,L (-12),1,33:20,.450,.400,7.8,10.5,9.2,21.0,3.2,0.0,11.9,34.9,95,121,12.1,-2.9
11,11,2006-11-21,21-326,CLE,,MEM,W (+3),1,41:59,.350,.357,0.0,3.0,1.7,35.5,4.1,2.0,12.3,29.4,84,112,9.6,-2.8
12,12,2006-11-22,21-327,CLE,@,TOR,L (-8),1,39:55,.536,.500,0.0,31.6,13.8,40.5,5.6,0.0,6.7,33.9,118,99,26.6,19.1
13,13,2006-11-24,21-329,CLE,@,IND,L (-10),1,42:26,.658,.500,3.1,15.1,9.7,26.7,1.3,0.0,11.6,28.9,130,109,22.6,11.0
14,14,2006-11-25,21-330,CLE,,PHI,W (+13),1,40:50,.542,.525,0.0,12.4,5.5,41.4,0.0,1.8,23.3,29.8,102,104,14.8,1.7
15,15,2006-11-29,21-334,CLE,,NYK,L (-3),1,41:11,.503,.455,2.8,21.2,11.0,26.5,0.0,2.2,15.7,35.0,97,116,16.0,1.3
16,16,2006-12-01,21-336,CLE,@,ATL,W (+11),1,42:55,.566,.543,5.9,15.5,10.6,32.4,3.8,3.9,12.7,33.2,118,100,25.4,10.9
17,17,2006-12-02,21-337,CLE,@,HOU,L (-18),1,35:44,.419,.364,2.5,12.5,7.0,42.7,0.0,0.0,10.7,39.0,83,103,8.5,6.3
18,18,2006-12-06,21-341,CLE,,TOR,W (+4),1,40:30,.644,.639,2.9,13.2,8.3,47.5,1.4,0.0,16.5,28.1,123,105,22.8,11.3
19,19,2006-12-09,21-344,CLE,,IND,W (+32),1,31:52,.724,.719,0.0,18.2,11.6,40.3,1.5,2.2,13.9,30.1,129,76,24.4,14.5
20,20,2006-12-11,21-346,CLE,@,NOK,L (-6),1,41:36,.407,.389,7.5,14.9,10.5,24.8,5.8,0.0,14.0,24.8,97,111,13.3,3.8
21,21,2006-12-13,21-348,CLE,,CHA,W (+3),1,41:37,.504,.353,3.1,18.8,11.5,27.8,1.3,1.6,21.6,30.2,98,110,15.1,-1.9
22,22,2006-12-15,21-350,CLE,,SEA,W (+22),1,33:37,.718,.714,0.0,26.2,15.1,31.1,1.6,0.0,20.7,26.6,122,87,18.8,7.2
23,23,2006-12-16,21-351,CLE,@,ORL,L (-7),1,41:03,.632,.579,2.5,11.7,6.8,38.2,0.0,1.9,14.8,30.9,116,96,19.4,13.5
24,24,2006-12-20,21-355,CLE,@,NJN,L (-2),1,40:11,.592,.477,0.0,3.7,1.5,41.5,2.5,2.3,8.8,35.4,126,117,27.6,11.3
25,25,2006-12-21,21-356,CLE,,DET,L (-16),1,43:00,.553,.450,4.5,20.8,12.0,32.9,2.7,0.0,4.1,28.0,120,101,23.5,14.6
26,26,2006-12-23,21-358,CLE,,ORL,W (+3),1,42:54,.630,.667,0.0,20.6,8.7,5.8,0.0,0.0,21.6,31.9,100,99,15.5,5.0
27,27,2006-12-27,21-362,CLE,@,ATL,W (+13),1,39:31,.473,.420,3.1,21.6,13.0,16.7,1.3,3.9,3.4,33.3,108,82,18.9,8.5
28,28,2006-12-29,21-364,CLE,,MIL,W (+10),1,44:01,.599,.571,2.8,7.3,5.2,18.2,1.1,1.6,10.1,28.7,122,108,21.5,4.2
29,29,2006-12-30,22-000,CLE,@,CHI,L (-7),1,40:19,.604,.635,5.1,18.5,11.6,16.9,1.3,0.0,15.5,34.5,112,110,19.6,7.0
30,30,2007-01-02,22-003,CLE,,SAS,W (+4),1,40:14,.435,.412,0.0,14.2,6.7,32.0,2.7,0.0,12.1,28.5,87,91,11.1,2.6
31,31,2007-01-03,22-004,CLE,@,BOS,W (+3),1,44:47,.656,.600,2.6,14.5,8.1,16.4,3.4,1.7,10.9,27.1,125,106,27.3,9.2
32,32,2007-01-05,22-006,CLE,@,MIL,W (+9),1,42:50,.288,.231,0.0,14.7,6.5,30.9,1.3,0.0,12.6,16.7,86,103,6.5,-5.1
33,33,2007-01-06,22-007,CLE,,NJN,W (+5),1,44:00,.452,.452,0.0,39.4,17.1,16.1,3.7,6.3,19.2,26.9,81,90,13.1,1.9
34,34,2007-01-09,22-010,CLE,@,SAC,W (+10),1,43:25,.622,.596,2.3,10.1,5.4,29.2,2.5,2.2,9.9,29.7,132,113,26.4,14.1
35,35,2007-01-11,22-012,CLE,@,PHO,L (-19),1,38:49,.589,.589,4.8,11.2,7.7,42.5,1.3,0.0,14.8,35.5,112,114,22.0,13.0
36,36,2007-01-13,22-014,CLE,@,LAC,W (+12),1,42:02,.528,.435,2.8,16.8,9.1,24.8,1.3,0.0,7.0,32.4,114,104,19.7,3.9
37,37,2007-01-16,22-017,CLE,@,SEA,L (-5),1,43:34,.543,.405,2.5,16.1,9.1,38.0,2.5,1.8,12.7,33.2,111,109,24.5,10.9
38,38,2007-01-17,22-018,CLE,@,POR,L (-18),1,35:07,.430,.405,9.5,10.5,10.0,22.7,1.6,0.0,13.0,41.7,87,111,10.1,2.4
39,39,2007-01-19,22-020,CLE,@,DEN,L (-11),1,43:52,.514,.391,4.6,23.0,12.7,43.5,2.3,0.0,9.3,32.4,113,112,25.7,7.5
40,40,2007-01-20,22-021,CLE,@,GSW,W (+2),1,45:52,.661,.682,0.0,14.4,7.9,21.5,4.1,0.0,27.1,29.7,93,89,20.8,5.1
41,41,2007-01-22,22-023,CLE,,ORL,L (-11),1,43:23,.434,.400,0.0,15.3,6.0,24.7,4.0,0.0,8.8,26.2,90,105,12.0,1.7
42,42,2007-01-24,22-025,CLE,,PHI,L (-3),1,53:10,.615,.596,4.2,27.3,13.0,21.2,1.1,0.0,11.2,29.5,124,117,27.9,10.7
43,,2007-01-26,22-027,CLE,@,PHI,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,43,2007-01-28,22-029,CLE,,PHO,L (-15),1,42:04,.609,.614,5.9,24.2,14.3,21.7,2.6,0.0,10.9,30.6,125,129,23.4,9.7
45,,2007-01-30,22-031,CLE,,GSW,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,44,2007-02-01,22-033,CLE,@,MIA,L (-3),1,35:35,.395,.389,3.3,19.3,10.6,48.7,1.5,0.0,8.5,31.6,92,105,10.7,3.7
47,45,2007-02-02,22-034,CLE,,CHA,W (+20),1,35:39,.545,.538,3.3,31.9,17.0,14.1,2.9,0.0,5.7,22.6,115,88,16.2,4.6
48,46,2007-02-04,22-036,CLE,,DET,L (-12),1,43:17,.450,.432,0.0,17.3,7.6,27.7,2.6,0.0,11.4,30.4,91,104,12.7,4.7
49,47,2007-02-07,22-039,CLE,,LAC,W (+17),1,36:19,.396,.346,0.0,20.1,9.6,13.8,1.5,1.8,12.6,19.7,88,89,7.0,-1.8
50,48,2007-02-09,22-041,CLE,,MIA,W (+24),1,41:08,.568,.568,2.7,16.7,9.5,25.9,0.0,0.0,7.3,30.1,120,97,21.1,7.4
51,49,2007-02-11,22-043,CLE,,LAL,W (+9),1,38:21,.423,.313,2.8,19.0,11.1,21.8,1.4,2.2,4.5,27.1,100,101,13.0,0.1
52,50,2007-02-14,22-046,CLE,@,UTA,L (-1),1,42:39,.397,.360,7.3,19.7,13.1,18.1,1.3,5.3,0.0,30.8,112,114,16.8,3.4
53,51,2007-02-15,22-047,CLE,@,LAL,W (+6),1,39:48,.740,.625,0.0,9.6,5.2,15.8,3.7,0.0,10.5,30.6,143,107,30.9,13.4
54,52,2007-02-21,22-053,CLE,@,TOR,W (+1),1,36:49,.533,.480,0.0,12.1,5.9,12.8,1.4,2.1,9.9,38.2,102,92,16.4,7.1
55,53,2007-02-22,22-054,CLE,,CHI,L (-6),1,42:58,.460,.482,6.6,10.9,8.5,12.1,3.7,0.0,8.7,35.4,92,90,16.5,10.1
56,54,2007-02-25,22-057,CLE,@,MIA,L (-5),1,41:30,.532,.500,0.0,7.2,3.6,41.7,0.0,1.9,6.8,32.2,110,100,19.3,10.8
57,55,2007-02-27,22-059,CLE,,NOK,W (+8),1,42:50,.698,.705,2.9,10.9,7.1,36.9,2.4,1.5,13.8,31.4,125,95,29.8,16.6
58,56,2007-03-01,22-061,CLE,@,DAL,L (-3),1,39:58,.639,.648,0.0,8.8,4.4,30.7,0.0,0.0,6.2,38.6,124,113,26.9,13.3
59,57,2007-03-03,22-063,CLE,,TOR,W (+23),1,37:22,.655,.525,5.7,7.1,6.5,28.4,0.0,4.9,6.8,33.2,142,103,31.4,14.8
60,58,2007-03-05,22-065,CLE,,HOU,W (+6),1,41:38,.572,.563,2.5,21.9,13.2,41.6,0.0,0.0,9.7,34.7,112,93,24.2,10.3
61,59,2007-03-07,22-067,CLE,@,DET,W (+4),1,50:40,.594,.565,4.9,12.2,8.5,33.2,3.5,1.9,10.4,36.1,122,102,31.9,18.5
62,60,2007-03-10,22-070,CLE,@,MIL,W (+2),1,36:30,.673,.636,0.0,27.0,14.4,61.6,4.4,2.0,20.2,39.7,116,94,25.8,15.2
63,61,2007-03-11,22-071,CLE,,IND,W (+11),1,38:42,.537,.500,9.3,12.7,11.0,29.1,3.9,1.8,7.6,31.7,113,90,22.6,10.5
64,,2007-03-13,22-073,CLE,,SAC,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,62,2007-03-14,22-074,CLE,@,MEM,W (+22),1,29:35,.738,.765,4.4,16.9,11.5,23.1,5.2,0.0,9.2,33.4,139,97,26.3,20.1
66,63,2007-03-17,22-077,CLE,,UTA,W (+9),1,43:40,.449,.381,4.2,33.0,18.3,40.9,2.4,3.2,13.0,28.5,100,70,20.9,13.4
67,64,2007-03-20,22-080,CLE,@,CHA,L (-8),1,46:33,.510,.419,4.7,11.1,7.7,27.0,1.2,5.1,7.6,38.4,112,111,25.0,9.9
68,65,2007-03-21,22-081,CLE,,DAL,L (-8),1,45:27,.499,.446,0.0,19.8,8.1,21.9,2.3,5.4,16.2,37.4,88,101,17.3,4.0
69,66,2007-03-23,22-083,CLE,,NYK,W (+22),1,38:16,.563,.500,3.2,6.3,4.8,52.3,2.9,0.0,5.1,25.1,132,82,21.5,14.1
70,67,2007-03-25,22-085,CLE,,DEN,L (-12),1,40:49,.463,.447,0.0,11.8,4.6,29.8,1.3,0.0,20.5,26.8,85,114,8.8,-3.6
71,68,2007-03-27,22-087,CLE,@,IND,W (+11),1,40:08,.538,.444,3.1,19.4,11.0,25.2,2.7,0.0,11.0,32.4,110,102,19.1,3.9
72,69,2007-03-28,22-088,CLE,@,NYK,L (-4),1,43:55,.459,.350,2.2,16.1,7.9,31.3,2.5,0.0,10.3,31.3,98,110,15.7,1.4
73,70,2007-03-31,22-091,CLE,@,CHI,W (+4),1,47:24,.635,.560,2.9,11.5,7.3,41.3,3.4,0.0,18.6,37.3,116,109,28.9,8.0
74,,2007-04-01,22-092,CLE,@,BOS,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
75,71,2007-04-03,22-094,CLE,@,MIN,W (+13),1,41:49,.592,.542,5.2,28.7,16.4,28.6,5.1,2.2,7.1,31.0,124,88,30.3,14.9
76,72,2007-04-05,22-096,CLE,,MIA,L (-4),1,48:36,.655,.571,4.5,17.8,10.7,28.7,0.0,0.0,13.0,29.4,128,104,25.3,12.1
77,73,2007-04-06,22-097,CLE,@,WAS,W (+5),1,44:25,.429,.304,0.0,20.3,8.5,20.4,1.2,1.9,6.4,32.3,97,103,14.3,-2.7
78,74,2007-04-08,22-099,CLE,@,DET,L (-5),1,43:06,.480,.344,3.0,11.1,7.2,24.4,1.3,0.0,19.3,31.0,93,107,11.3,-2.0
79,75,2007-04-12,22-103,CLE,,NJN,W (+18),1,35:15,.565,.556,12.4,17.9,15.3,31.0,3.1,2.7,6.1,45.3,117,83,27.2,15.4
80,76,2007-04-14,22-105,CLE,,ATL,W (+34),1,31:57,.632,.594,4.4,14.3,9.9,28.2,1.7,2.2,0.0,27.2,146,88,22.0,13.2
81,77,2007-04-17,22-108,CLE,@,PHI,W (+6),1,36:03,.498,.467,3.3,12.4,8.0,26.9,0.0,0.0,5.2,25.1,109,106,13.0,-1.4
