Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2013-10-29,28-303,MIA,,CHI,W (+12),1,38:01,.568,.455,0.0,16.5,9.4,32.9,1.3,0.0,11.8,20.8,121,101,16.9,2.7
2,2,2013-10-30,28-304,MIA,@,PHI,L (-4),1,36:38,.666,.647,0.0,16.4,7.4,56.4,0.0,0.0,17.6,27.2,127,118,21.4,8.5
3,3,2013-11-01,28-306,MIA,@,BRK,L (-1),1,42:14,.613,.605,3.1,20.7,11.4,35.0,2.4,2.2,19.1,30.4,102,107,19.9,4.4
4,4,2013-11-03,28-308,MIA,,WAS,W (+10),1,34:41,.772,.750,0.0,10.1,5.7,28.2,1.6,0.0,27.0,31.4,108,109,17.0,2.9
5,5,2013-11-05,28-310,MIA,@,TOR,W (+9),1,36:01,.744,.675,7.2,19.5,13.7,45.0,0.0,2.6,4.1,32.6,157,110,33.9,20.9
6,6,2013-11-07,28-312,MIA,,LAC,W (+5),1,37:09,.531,.500,0.0,20.8,9.5,25.6,1.4,0.0,19.1,26.7,96,108,10.8,-0.7
7,7,2013-11-09,28-314,MIA,,BOS,L (-1),1,36:32,.737,.692,4.1,24.2,15.0,45.0,0.0,0.0,22.8,30.1,126,123,23.1,5.5
8,8,2013-11-12,28-317,MIA,,MIL,W (+23),1,29:58,.698,.714,0.0,11.2,6.5,12.7,0.0,0.0,11.3,41.6,116,107,21.6,4.3
9,9,2013-11-15,28-320,MIA,,DAL,W (+6),1,36:58,.854,.806,0.0,21.6,11.5,23.8,1.3,0.0,20.8,36.3,135,112,31.2,10.0
10,10,2013-11-16,28-321,MIA,@,CHA,W (+16),1,31:55,.759,.722,4.7,9.6,7.6,68.1,1.7,2.7,13.2,36.4,140,96,27.4,19.8
11,11,2013-11-19,28-324,MIA,,ATL,W (+16),1,30:42,.454,.462,8.7,15.6,12.3,24.7,1.7,0.0,17.3,25.9,95,100,9.6,-3.0
12,12,2013-11-20,28-325,MIA,@,ORL,W (+28),1,29:05,.663,.455,5.5,23.6,15.2,38.8,1.8,3.9,20.2,30.0,135,98,20.1,6.9
13,13,2013-11-23,28-328,MIA,,ORL,W (+2),1,37:35,.684,.654,0.0,29.5,15.5,31.9,4.1,0.0,15.7,24.0,122,98,22.5,13.8
