Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2004-11-03,19-309,CLE,,IND,L (-5),1,50:56,.577,.474,2.5,10.3,6.3,33.5,1.1,4.6,19.8,30.3,103,105,20.9,7.4
2,2,2004-11-04,19-310,CLE,@,MIA,L (-6),1,42:20,.468,.455,8.0,9.1,8.5,38.9,1.3,0.0,4.3,26.0,107,109,17.8,9.7
3,3,2004-11-06,19-312,CLE,@,MIL,L (-14),1,41:53,.522,.400,5.0,16.3,10.4,32.9,3.6,0.0,11.9,34.6,104,103,23.8,9.2
4,4,2004-11-09,19-315,CLE,@,ATL,W (+14),1,48:00,.561,.500,3.0,23.1,13.9,17.4,4.7,3.2,11.9,25.8,111,83,22.5,8.7
5,5,2004-11-10,19-316,CLE,,PHO,W (+5),1,48:21,.649,.563,6.8,14.1,10.6,28.0,3.1,4.1,9.3,29.7,130,95,36.1,16.7
6,6,2004-11-13,19-319,CLE,,WAS,W (+31),1,37:24,.541,.500,3.3,18.0,12.1,16.6,4.0,3.2,15.3,29.5,104,73,19.9,8.7
7,7,2004-11-15,19-321,CLE,,GSW,W (+11),1,41:58,.647,.614,6.0,26.0,16.7,20.5,2.7,1.7,3.8,31.1,138,96,30.1,15.2
8,8,2004-11-18,19-324,CLE,@,CHA,W (+17),1,29:06,.638,.643,4.8,17.0,12.0,51.1,0.0,0.0,6.3,24.0,139,100,18.3,11.3
9,9,2004-11-20,19-326,CLE,,CHA,W (+16),1,37:49,.574,.550,15.0,7.3,10.8,13.2,4.2,1.7,24.3,32.8,96,92,17.5,3.6
10,10,2004-11-21,19-327,CLE,@,NYK,L (-10),1,40:41,.398,.367,6.2,26.3,15.2,38.7,1.3,1.9,23.5,25.3,85,110,10.1,-2.4
11,11,2004-11-24,19-330,CLE,,DET,W (+16),1,37:30,.788,.727,9.7,11.1,10.4,48.4,4.7,2.2,9.9,39.9,148,91,39.2,31.2
12,12,2004-11-26,19-332,CLE,@,BOS,W (+2),1,42:48,.698,.692,0.0,18.1,10.5,33.1,3.8,1.8,12.3,18.7,132,103,22.4,11.1
13,13,2004-11-27,19-333,CLE,,CHI,W (+22),1,31:55,.693,.676,3.6,21.4,12.5,46.7,1.7,0.0,9.6,29.4,138,88,24.5,18.7
14,14,2004-11-29,19-335,CLE,@,LAC,L (-12),1,42:19,.519,.474,3.0,19.6,11.0,23.1,8.0,1.7,12.4,27.9,102,96,20.8,12.2
15,15,2004-12-01,19-337,CLE,@,PHO,L (-19),1,40:47,.361,.316,2.5,6.5,4.2,22.6,2.5,1.7,22.4,29.6,72,125,5.1,-9.7
16,16,2004-12-02,19-338,CLE,@,DEN,W (+19),1,41:10,.475,.471,2.7,21.0,11.3,39.6,2.6,1.8,21.9,24.7,90,78,13.5,4.9
17,17,2004-12-04,19-340,CLE,,TOR,W (+8),1,42:50,.672,.618,0.0,12.6,7.3,40.1,2.3,1.5,13.0,23.7,129,101,26.4,10.1
18,18,2004-12-07,19-343,CLE,,NJN,W (+6),1,46:05,.548,.500,0.0,7.2,3.4,32.7,3.5,0.0,10.9,27.9,116,110,20.2,3.5
19,19,2004-12-08,19-344,CLE,@,CHI,L (-28),1,37:18,.468,.333,0.0,7.9,3.2,33.4,1.4,2.1,16.5,29.0,91,125,11.0,-1.4
20,20,2004-12-11,19-347,CLE,@,SAS,L (-19),1,41:13,.578,.553,9.5,13.7,11.2,40.0,5.1,0.0,13.1,25.0,118,124,23.9,13.3
21,21,2004-12-13,19-349,CLE,@,MEM,W (+6),1,45:49,.652,.659,0.0,14.9,7.3,35.7,8.5,0.0,11.2,28.2,127,88,30.7,18.5
22,22,2004-12-15,19-351,CLE,,POR,W (+24),1,37:09,.647,.611,7.2,25.9,17.6,28.4,4.1,3.8,13.4,27.6,122,84,26.4,12.1
23,23,2004-12-16,19-352,CLE,@,DET,L (-12),1,45:04,.237,.190,2.5,21.9,11.9,32.8,5.4,1.7,11.5,29.0,62,93,6.0,1.4
24,24,2004-12-18,19-354,CLE,,BOS,L (-7),1,40:32,.543,.540,3.4,12.6,8.2,22.0,4.1,2.3,12.3,36.1,106,112,18.7,6.9
25,25,2004-12-21,19-357,CLE,,MIN,W (+10),1,43:11,.604,.556,0.0,14.3,8.9,48.1,1.3,0.0,8.5,27.7,127,115,25.0,6.2
26,26,2004-12-22,19-358,CLE,@,NJN,L (-2),1,42:38,.513,.417,2.6,20.3,11.6,42.9,1.3,0.0,15.2,28.8,106,105,18.0,4.5
27,27,2004-12-26,19-362,CLE,,NOH,W (+9),1,44:40,.551,.438,3.0,17.8,11.4,50.6,4.8,1.6,20.0,26.6,112,95,25.0,8.8
28,28,2004-12-28,19-364,CLE,@,ATL,W (+9),1,46:20,.642,.580,2.7,24.6,13.0,29.9,1.1,0.0,3.1,31.1,144,111,33.7,11.3
29,29,2004-12-29,19-365,CLE,,HOU,L (-11),1,17:23,.208,.000,0.0,18.0,9.6,48.7,0.0,0.0,0.0,19.5,78,112,3.1,-3.4
30,30,2005-01-03,20-004,CLE,@,CHA,W (+11),1,40:18,.601,.579,5.6,14.9,10.5,28.0,2.7,0.0,4.4,24.4,139,95,23.5,11.8
31,31,2005-01-05,20-006,CLE,,ATL,W (+16),1,39:39,.601,.571,3.1,14.3,8.9,34.2,1.5,1.9,10.7,22.8,132,102,18.8,8.4
32,32,2005-01-08,20-009,CLE,,NYK,W (+25),1,32:42,.739,.714,3.9,7.9,5.9,24.0,0.0,4.8,35.0,31.5,96,89,12.9,-0.6
33,33,2005-01-11,20-012,CLE,,CHA,W (+2),1,49:02,.535,.500,2.4,18.9,10.2,35.9,2.2,1.4,22.8,32.2,96,102,19.2,3.9
34,34,2005-01-13,20-014,CLE,@,LAL,L (-4),1,44:20,.504,.481,8.6,21.8,16.1,37.9,1.2,1.7,12.6,32.7,107,102,22.9,6.2
35,35,2005-01-15,20-016,CLE,@,UTA,W (+13),1,41:18,.516,.450,2.9,18.2,10.9,35.6,6.8,0.0,10.3,35.6,104,73,22.1,13.3
36,36,2005-01-16,20-017,CLE,@,SEA,L (-8),1,44:09,.536,.517,4.3,10.9,6.7,60.8,5.0,2.2,3.0,32.3,125,116,30.9,20.6
37,37,2005-01-19,20-020,CLE,@,POR,W (+6),1,43:47,.724,.719,2.7,25.4,14.5,36.4,4.7,0.0,9.7,21.2,144,100,30.5,12.7
38,38,2005-01-20,20-021,CLE,@,SAC,L (-27),1,36:37,.463,.474,2.3,23.3,10.9,29.6,1.4,0.0,13.4,25.1,94,126,12.9,1.4
39,39,2005-01-22,20-023,CLE,@,GSW,W (+18),1,43:15,.563,.542,2.4,34.1,16.3,34.4,1.3,2.1,10.8,29.5,120,100,25.7,7.8
40,40,2005-01-24,20-025,CLE,,WAS,L (-9),1,48:00,.510,.481,8.5,15.4,11.6,28.6,2.1,1.9,14.1,29.7,107,112,22.7,7.0
41,41,2005-01-26,20-027,CLE,,MEM,W (+3),1,41:47,.760,.750,3.6,27.7,15.8,54.3,3.9,4.3,22.0,24.8,138,117,32.0,18.9
42,,2005-01-28,20-029,CLE,@,NYK,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
43,,2005-01-30,20-031,CLE,,MIL,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,42,2005-02-01,20-033,CLE,@,ORL,L (-3),1,43:20,.544,.500,4.7,12.0,7.3,28.1,0.0,1.9,10.4,28.6,116,117,20.1,4.4
45,43,2005-02-03,20-035,CLE,@,MIA,L (-12),1,45:57,.548,.500,4.6,0.0,2.7,44.4,3.7,0.0,6.6,32.0,119,117,26.3,14.5
46,44,2005-02-05,20-037,CLE,,ORL,W (+9),1,45:36,.561,.429,0.0,16.4,7.7,37.8,2.3,0.0,3.6,27.0,133,100,26.8,9.8
47,45,2005-02-08,20-040,CLE,,TOR,W (+13),1,36:10,.476,.429,4.0,19.9,13.3,39.6,4.3,0.0,11.3,22.9,114,92,18.3,6.9
48,46,2005-02-11,20-043,CLE,,DEN,L (-5),1,43:05,.511,.431,6.2,12.8,9.4,29.6,1.2,0.0,10.4,39.4,111,119,21.7,2.2
49,47,2005-02-13,20-045,CLE,,LAL,W (+14),1,45:42,.512,.400,5.8,14.2,10.4,30.6,3.5,1.7,10.9,29.0,112,96,22.8,5.7
50,48,2005-02-16,20-048,CLE,,ATL,W (+22),1,37:00,.631,.600,0.0,13.2,6.8,25.3,4.5,0.0,11.9,29.4,127,98,23.7,8.6
