Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2009-10-27,24-301,CLE,,BOS,L (-6),1,44:55,.685,.636,0.0,13.4,6.1,52.9,2.4,8.1,15.3,36.0,121,103,31.2,19.4
2,2,2009-10-28,24-302,CLE,@,TOR,L (-10),1,39:47,.457,.395,4.5,25.3,13.7,70.4,2.5,0.0,13.7,31.1,100,100,20.2,11.4
3,3,2009-10-30,24-304,CLE,@,MIN,W (+17),1,33:26,.621,.611,6.8,20.9,14.4,33.6,1.6,2.0,9.4,29.5,125,93,22.0,10.9
4,4,2009-10-31,24-305,CLE,,CHA,W (+11),1,37:14,.513,.455,4.6,20.9,13.9,39.3,0.0,0.0,22.7,26.7,107,103,11.9,-2.8
5,5,2009-11-03,24-308,CLE,,WAS,W (+12),1,35:59,.622,.500,8.2,16.3,11.9,30.0,4.6,0.0,15.6,32.7,120,98,24.6,14.6
6,6,2009-11-05,24-310,CLE,,CHI,L (-1),1,38:13,.596,.559,0.0,19.1,9.6,34.7,1.4,1.6,12.5,29.6,111,93,20.5,11.3
7,7,2009-11-06,24-311,CLE,@,NYK,W (+9),1,35:37,.787,.765,0.0,26.3,14.0,55.6,4.2,0.0,25.0,36.4,125,90,28.6,15.9
8,8,2009-11-11,24-316,CLE,@,ORL,W (+9),1,39:07,.668,.609,6.8,17.1,12.4,23.3,1.3,0.0,12.9,37.6,125,102,26.9,11.7
9,9,2009-11-12,24-317,CLE,@,MIA,W (+7),1,38:53,.609,.450,3.5,9.7,6.8,33.1,2.6,2.3,6.7,35.7,128,109,28.8,13.6
10,10,2009-11-14,24-319,CLE,,UTA,W (+4),1,37:33,.518,.400,0.0,26.4,11.6,36.7,2.8,2.1,9.0,28.5,115,110,20.1,4.9
11,11,2009-11-17,24-322,CLE,,GSW,W (+6),1,38:32,.662,.605,0.0,15.6,8.8,46.3,1.3,3.9,7.9,30.9,141,114,30.8,11.9
12,12,2009-11-18,24-323,CLE,@,WAS,L (-17),1,35:08,.723,.675,0.0,6.1,3.3,66.1,3.0,0.0,20.3,40.5,120,119,25.7,13.6
13,13,2009-11-20,24-325,CLE,@,IND,W (+10),1,37:53,.642,.540,5.9,19.7,13.0,45.4,1.4,2.0,6.0,39.3,137,102,35.0,20.0
14,14,2009-11-21,24-326,CLE,,PHI,W (+6),1,38:32,.707,.700,0.0,17.4,10.0,56.6,0.0,0.0,18.1,36.2,121,105,24.6,9.4
15,15,2009-11-25,24-330,CLE,@,DET,W (+10),1,38:49,.589,.521,3.3,21.6,12.7,45.2,1.5,0.0,14.8,43.9,115,102,24.1,5.5
16,16,2009-11-27,24-332,CLE,@,CHA,L (-7),1,38:01,.602,.579,0.0,18.5,9.4,21.6,0.0,0.0,22.4,33.0,99,108,12.3,1.4
17,17,2009-11-28,24-333,CLE,,DAL,W (+16),1,36:21,.542,.500,0.0,19.4,10.5,49.8,0.0,0.0,4.2,32.3,135,114,22.3,7.3
18,18,2009-12-02,24-337,CLE,,PHO,W (+17),1,34:37,.400,.400,3.1,20.7,12.1,37.8,1.5,2.4,16.7,22.7,96,99,12.4,1.1
19,19,2009-12-04,24-339,CLE,,CHI,W (+14),1,34:12,.537,.500,0.0,21.6,9.8,55.6,0.0,0.0,4.5,31.2,129,106,20.8,10.2
20,20,2009-12-06,24-341,CLE,@,MIL,W (+15),1,32:18,.535,.400,4.2,11.7,8.6,51.1,1.6,2.0,27.7,25.9,102,91,13.0,4.2
21,21,2009-12-08,24-343,CLE,@,MEM,L (-2),1,44:47,.627,.552,11.0,23.2,17.3,30.3,0.0,1.5,12.7,38.6,129,111,32.5,14.5
22,22,2009-12-09,24-344,CLE,@,HOU,L (-10),1,39:40,.531,.429,3.0,14.1,8.6,41.7,1.3,2.1,16.4,34.3,103,101,18.1,8.7
23,23,2009-12-11,24-346,CLE,,POR,W (+5),1,37:36,.619,.604,4.1,19.6,12.8,35.6,1.4,4.5,13.1,38.6,118,106,26.4,12.7
24,24,2009-12-13,24-348,CLE,@,OKC,W (+13),1,38:35,.659,.638,0.0,23.5,11.2,37.1,5.5,2.3,2.9,40.9,140,89,38.5,28.8
25,25,2009-12-15,24-350,CLE,,NJN,W (+10),1,40:28,.531,.500,4.1,12.4,9.2,29.3,2.9,0.0,21.7,35.3,98,107,14.4,-2.4
26,26,2009-12-16,24-351,CLE,@,PHI,W (+7),1,40:17,.584,.519,3.1,13.2,8.6,42.3,4.1,1.9,8.9,40.9,121,111,28.8,10.8
27,27,2009-12-18,24-353,CLE,,MIL,W (+3),1,38:22,.678,.538,3.6,22.5,14.7,48.8,0.0,6.1,23.8,34.0,114,92,23.2,13.2
28,28,2009-12-20,24-355,CLE,@,DAL,L (-7),1,43:05,.479,.435,0.0,8.6,4.1,26.8,2.5,3.7,7.1,31.1,102,111,17.0,6.5
29,29,2009-12-21,24-356,CLE,@,PHO,W (+18),1,38:26,.613,.548,3.7,16.0,10.3,18.3,2.6,0.0,11.3,32.8,115,96,21.5,6.0
30,30,2009-12-23,24-358,CLE,@,SAC,W (+13),1,43:41,.514,.483,12.4,31.7,22.8,40.4,0.0,0.0,5.7,38.5,125,107,28.8,8.8
31,31,2009-12-25,24-360,CLE,@,LAL,W (+15),1,40:44,.545,.526,0.0,9.2,5.5,38.7,2.5,1.8,22.7,36.6,95,94,16.3,2.5
32,32,2009-12-27,24-362,CLE,,HOU,W (+25),1,29:26,.666,.650,6.9,11.4,9.1,40.1,5.1,3.2,4.4,33.4,141,82,28.6,25.8
33,33,2009-12-29,24-364,CLE,@,ATL,W (+11),1,39:36,.328,.300,3.5,22.3,13.3,39.4,6.7,2.2,15.8,29.7,83,82,12.7,4.9
34,34,2009-12-30,25-000,CLE,,ATL,W (+5),1,43:12,.799,.739,7.9,18.1,13.1,34.5,2.5,3.3,9.1,36.8,151,110,44.7,24.2
35,35,2010-01-02,25-003,CLE,@,NJN,W (+8),1,36:27,.619,.469,2.9,23.9,13.2,40.5,1.5,4.1,4.2,28.9,141,91,28.2,21.4
36,36,2010-01-03,25-004,CLE,,CHA,L (-3),1,42:51,.663,.667,0.0,25.3,12.4,32.9,1.4,2.1,4.4,28.3,137,111,24.9,13.4
37,37,2010-01-06,25-007,CLE,,WAS,W (+23),1,30:50,.683,.625,10.4,18.5,15.1,38.8,1.7,4.6,5.6,27.2,154,104,26.1,13.8
38,38,2010-01-08,25-009,CLE,@,DEN,L (-2),1,41:18,.519,.464,6.6,10.8,8.9,38.6,1.2,0.0,19.2,45.4,98,110,18.7,1.7
39,39,2010-01-10,25-011,CLE,@,POR,W (+12),1,45:16,.815,.763,0.0,27.9,14.3,36.5,0.0,2.0,10.7,31.7,155,115,38.0,18.7
40,40,2010-01-11,25-012,CLE,@,GSW,W (+3),1,41:37,.634,.543,2.9,18.3,11.0,43.5,2.2,6.6,6.4,31.2,139,106,37.8,16.8
41,41,2010-01-14,25-015,CLE,@,UTA,L (-1),1,40:25,.712,.700,3.4,22.6,13.9,42.5,6.2,2.0,16.5,34.4,125,91,32.8,22.0
42,42,2010-01-16,25-017,CLE,@,LAC,W (+1),1,38:54,.693,.675,6.7,11.2,8.4,21.3,3.0,2.9,17.8,34.1,124,121,23.3,9.5
43,43,2010-01-19,25-020,CLE,,TOR,W (+8),1,41:01,.579,.444,0.0,25.1,14.0,45.0,3.7,5.5,11.0,32.0,122,96,29.9,13.2
44,44,2010-01-21,25-022,CLE,,LAL,W (+6),1,40:24,.602,.540,0.0,10.4,6.5,57.6,2.7,2.0,11.5,43.4,117,97,28.8,15.4
