Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2014-10-30,29-304,CLE,,NYK,L (-5),1,43:14,.470,.367,0.0,17.9,8.2,16.8,0.0,0.0,30.7,29.6,75,117,3.2,-13.7
2,2,2014-10-31,29-305,CLE,@,CHI,W (+6),1,41:40,.530,.483,2.5,20.7,10.8,27.4,5.0,2.2,8.1,36.9,116,97,27.4,15.5
3,3,2014-11-04,29-309,CLE,@,POR,L (-19),1,34:56,.442,.417,2.6,22.3,10.8,37.7,1.6,0.0,19.4,20.2,91,113,8.8,1.2
4,4,2014-11-05,29-310,CLE,@,UTA,L (-2),1,42:02,.666,.528,0.0,9.5,4.8,21.9,3.9,0.0,14.7,30.7,125,116,23.5,11.2
5,5,2014-11-07,29-312,CLE,@,DEN,W (+9),1,39:38,.533,.472,0.0,19.3,10.1,44.0,1.3,2.2,12.7,26.9,109,103,20.3,6.1
6,6,2014-11-10,29-315,CLE,,NOP,W (+7),1,40:26,.654,.559,6.2,22.7,15.4,36.4,1.3,1.8,14.0,32.8,133,120,29.8,8.8
7,7,2014-11-14,29-319,CLE,@,BOS,W (+1),1,40:51,.662,.648,0.0,11.8,5.9,34.0,0.0,1.7,8.8,35.5,127,121,29.5,7.5
8,8,2014-11-15,29-320,CLE,,ATL,W (+33),1,28:54,.735,.750,8.7,14.4,11.9,42.4,0.0,2.4,12.1,37.8,136,100,27.2,13.4
9,9,2014-11-17,29-322,CLE,,DEN,L (-9),1,40:34,.522,.472,0.0,25.4,13.1,24.1,0.0,4.4,15.9,28.5,98,113,14.6,-1.5
10,10,2014-11-19,29-324,CLE,,SAS,L (-2),1,34:06,.430,.412,10.1,11.1,10.6,44.4,1.6,2.4,22.3,30.2,89,103,10.3,3.0
11,11,2014-11-21,29-326,CLE,@,WAS,L (-13),1,39:02,.457,.429,8.4,2.9,5.7,28.7,1.3,1.7,11.1,32.0,93,103,13.2,5.0
12,12,2014-11-22,29-327,CLE,,TOR,L (-17),1,37:17,.563,.542,0.0,3.0,1.6,47.2,1.3,2.3,27.3,21.1,98,118,11.8,2.7
13,13,2014-11-24,29-329,CLE,,ORL,W (+32),1,31:00,.664,.588,4.0,10.3,7.4,60.7,5.3,0.0,4.4,34.4,148,84,31.2,25.7
14,14,2014-11-26,29-331,CLE,,WAS,W (+26),1,36:05,.675,.536,5.1,37.4,22.9,37.1,4.5,0.0,15.7,34.0,131,92,27.6,12.3
15,15,2014-11-29,29-334,CLE,,IND,W (+12),1,31:44,.503,.500,0.0,6.1,3.3,38.7,1.7,0.0,13.7,32.7,101,112,12.7,-0.7
16,16,2014-12-02,29-337,CLE,,MIL,W (+3),1,41:05,.536,.400,3.3,10.4,7.3,36.5,0.0,0.0,22.4,33.6,101,115,16.6,-2.6
17,17,2014-12-04,29-339,CLE,@,NYK,W (+3),1,39:31,.473,.441,3.4,11.0,7.6,62.0,2.7,0.0,16.6,29.7,99,96,16.2,5.7
