Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2011-12-25,26-360,MIA,@,DAL,W (+11),1,36:16,.676,.579,10.4,21.1,16.1,33.9,2.7,4.9,9.9,34.7,141,90,34.1,21.3
2,2,2011-12-27,26-362,MIA,,BOS,W (+8),1,36:00,.724,.643,4.4,18.5,12.1,22.2,2.6,2.5,14.3,25.3,134,106,23.6,6.7
3,3,2011-12-28,26-363,MIA,@,CHA,W (+1),1,38:49,.649,.565,0.0,18.5,8.9,43.4,4.0,3.9,6.9,35.7,126,95,33.2,19.0
4,4,2011-12-30,27-000,MIA,@,MIN,W (+2),1,37:13,.612,.615,2.8,20.1,11.3,50.8,5.0,2.4,12.6,35.9,114,91,31.1,16.4
5,5,2012-01-01,27-002,MIA,,CHA,W (+39),1,28:02,.633,.600,0.0,29.1,17.7,22.7,1.7,0.0,13.7,23.1,119,84,15.0,1.3
6,6,2012-01-02,27-003,MIA,,ATL,L (-8),1,38:33,.638,.611,6.4,15.2,10.9,36.8,0.0,0.0,15.4,31.9,116,115,21.3,7.4
7,7,2012-01-04,27-005,MIA,,IND,W (+35),1,37:41,.639,.571,7.5,17.4,13.1,62.0,2.6,0.0,7.2,33.7,140,85,33.8,18.0
8,,2012-01-05,27-006,MIA,@,ATL,W (+7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
9,8,2012-01-07,27-008,MIA,@,NJN,W (+11),1,37:23,.718,.647,0.0,17.0,10.2,48.4,2.7,2.6,26.4,35.8,113,91,26.0,9.2
10,9,2012-01-10,27-011,MIA,@,GSW,L (-5),1,42:33,.577,.526,2.6,24.0,13.7,32.8,2.3,0.0,18.2,27.5,108,100,21.1,5.9
11,10,2012-01-11,27-012,MIA,@,LAC,L (-6),1,41:53,.434,.368,5.3,29.6,17.3,38.3,2.6,0.0,18.5,36.1,85,92,12.9,2.3
12,11,2012-01-13,27-014,MIA,@,DEN,L (-13),1,37:11,.705,.725,3.0,15.2,8.4,36.5,2.7,2.4,13.9,33.6,129,120,29.0,15.8
13,12,2012-01-17,27-018,MIA,,SAS,W (+22),1,34:53,.661,.667,4.0,15.7,10.0,46.7,0.0,0.0,13.8,40.5,132,115,26.4,10.7
14,13,2012-01-19,27-020,MIA,,LAL,W (+11),1,37:13,.515,.481,9.4,15.7,12.6,45.8,6.1,6.3,9.1,41.1,118,90,26.8,20.8
15,14,2012-01-21,27-022,MIA,,PHI,W (+21),1,35:47,.746,.706,0.0,25.7,14.5,24.0,6.0,5.9,17.6,30.2,129,88,28.8,17.5
16,15,2012-01-22,27-023,MIA,,MIL,L (-9),1,37:22,.590,.444,13.2,25.7,19.9,43.6,1.4,0.0,11.2,33.2,125,97,24.4,14.8
17,16,2012-01-24,27-025,MIA,,CLE,W (+7),1,37:48,.395,.405,4.0,16.9,10.2,29.1,2.9,0.0,18.0,35.8,75,97,7.3,-5.6
18,17,2012-01-25,27-026,MIA,@,DET,W (+3),1,41:39,.612,.475,3.3,16.9,10.0,30.3,2.7,0.0,13.3,37.4,118,112,25.1,5.5
19,18,2012-01-27,27-028,MIA,,NYK,W (+10),1,40:17,.692,.611,3.3,19.4,12.1,34.9,0.0,0.0,15.2,31.0,126,101,25.3,8.2
20,19,2012-01-29,27-030,MIA,,CHI,W (+4),1,40:58,.591,.543,2.5,24.4,13.6,32.7,0.0,1.7,16.9,38.4,104,97,22.8,9.0
21,20,2012-01-30,27-031,MIA,,NOH,W (+14),1,29:44,.729,.708,20.2,35.3,27.7,42.9,1.8,0.0,21.0,30.1,135,105,23.1,15.5
22,21,2012-02-01,27-033,MIA,@,MIL,L (-8),1,40:17,.704,.667,0.0,20.3,11.6,34.4,2.6,0.0,19.8,41.9,112,110,28.5,10.7
23,22,2012-02-03,27-035,MIA,@,PHI,W (+20),1,37:13,.510,.500,3.7,28.4,18.2,34.8,0.0,3.7,9.7,28.4,110,88,18.0,8.1
24,23,2012-02-05,27-037,MIA,,TOR,W (+6),1,38:29,.673,.588,0.0,26.7,15.2,13.5,1.4,0.0,18.3,34.7,111,95,21.0,5.6
25,24,2012-02-07,27-039,MIA,,CLE,W (+16),1,38:40,.629,.563,3.0,10.1,6.9,26.8,2.6,0.0,23.9,27.9,108,96,17.7,5.9
26,25,2012-02-08,27-040,MIA,@,ORL,L (-13),1,39:15,.438,.333,0.0,16.0,8.5,40.9,4.3,0.0,13.4,28.7,98,114,16.1,3.5
27,26,2012-02-10,27-042,MIA,@,WAS,W (+17),1,33:17,.527,.429,0.0,5.4,3.2,41.4,0.0,4.2,5.5,24.6,122,98,17.1,7.7
28,27,2012-02-12,27-044,MIA,@,ATL,W (+20),1,30:26,.567,.433,12.1,30.9,22.8,33.2,1.7,0.0,9.0,33.3,128,91,22.0,13.0
29,28,2012-02-13,27-045,MIA,@,MIL,W (+18),1,32:54,.784,.762,12.5,15.2,14.1,22.3,1.6,0.0,8.2,32.3,154,106,30.2,16.8
30,29,2012-02-14,27-046,MIA,@,IND,W (+15),1,33:24,.621,.533,7.8,24.5,16.6,40.3,6.1,0.0,9.7,28.2,134,86,24.5,17.7
31,30,2012-02-17,27-049,MIA,@,CLE,W (+24),1,30:08,.689,.658,8.8,11.1,10.1,35.4,1.9,2.7,9.0,34.9,140,101,23.8,15.5
32,31,2012-02-19,27-051,MIA,,ORL,W (+12),1,36:38,.732,.679,3.3,27.3,16.4,40.0,3.0,0.0,10.5,26.0,142,85,26.9,18.8
33,32,2012-02-21,27-053,MIA,,SAC,W (+12),1,33:13,.758,.727,0.0,12.6,7.1,33.1,0.0,4.7,20.2,20.9,134,119,17.9,6.6
34,33,2012-02-23,27-055,MIA,,NYK,W (+14),1,40:41,.536,.438,2.9,20.5,12.2,28.0,6.4,3.8,17.7,24.4,111,84,21.5,11.6
35,34,2012-03-01,27-062,MIA,@,POR,W (+14),1,41:02,.696,.636,5.8,28.5,16.7,29.5,6.5,1.9,0.0,30.8,156,92,40.6,26.3
36,35,2012-03-02,27-063,MIA,@,UTA,L (-1),1,44:24,.691,.688,3.1,20.7,13.2,32.9,0.0,4.1,0.0,28.6,149,114,33.1,15.6
37,36,2012-03-04,27-065,MIA,@,LAL,L (-10),1,43:02,.458,.462,15.9,22.3,18.4,39.8,4.1,4.1,9.9,31.7,104,106,23.4,14.1
38,37,2012-03-06,27-067,MIA,,NJN,W (+30),1,29:36,.884,.864,6.2,28.2,20.3,32.0,0.0,0.0,29.6,27.9,127,88,19.2,9.4
39,38,2012-03-07,27-068,MIA,,ATL,W (+3),1,41:40,.635,.600,11.5,21.8,16.5,10.9,1.3,4.3,7.6,29.0,129,99,26.9,12.4
40,39,2012-03-10,27-071,MIA,,IND,W (+2),1,47:06,.527,.474,2.9,15.1,9.9,17.3,5.0,1.6,13.5,30.7,108,93,20.4,9.9
41,40,2012-03-13,27-074,MIA,@,ORL,L (-6),1,42:25,.446,.400,8.7,25.6,16.8,32.0,1.3,2.8,22.0,30.5,87,106,13.6,1.4
42,41,2012-03-14,27-075,MIA,@,CHI,L (-4),1,39:38,.643,.600,2.6,13.1,7.2,23.0,5.4,0.0,6.8,33.6,127,112,29.0,17.1
43,42,2012-03-16,27-077,MIA,@,PHI,W (+6),1,38:15,.616,.600,5.8,11.8,9.2,50.3,2.7,3.3,4.1,31.3,127,85,29.5,20.8
44,43,2012-03-18,27-079,MIA,,ORL,W (+10),1,38:58,.400,.286,0.0,34.4,19.0,29.7,6.8,0.0,18.6,26.8,82,75,12.9,4.1
45,44,2012-03-20,27-081,MIA,,PHO,W (+4),1,37:54,.484,.444,3.2,21.1,12.4,29.4,2.8,3.9,12.7,29.0,100,101,16.4,3.1
46,45,2012-03-23,27-084,MIA,@,DET,W (+15),1,37:26,.494,.400,0.0,16.4,9.3,48.7,5.7,2.1,22.5,28.0,94,75,17.4,9.2
47,46,2012-03-25,27-086,MIA,@,OKC,L (-16),1,39:36,.461,.444,0.0,10.4,5.4,36.4,2.6,0.0,17.8,27.7,88,114,10.6,-1.0
48,47,2012-03-26,27-087,MIA,@,IND,L (-15),1,40:49,.508,.476,5.3,21.7,12.9,12.8,1.3,0.0,20.2,34.1,88,115,11.6,-1.6
49,48,2012-03-29,27-090,MIA,,DAL,W (+21),1,36:13,.548,.500,11.7,20.4,16.3,23.3,3.0,0.0,14.8,25.9,114,94,16.2,3.9
