Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2010-10-26,25-300,MIA,@,BOS,L (-8),1,42:39,.590,.548,0.0,12.5,5.6,21.4,1.3,4.2,23.3,37.8,93,101,16.0,6.3
2,2,2010-10-27,25-301,MIA,@,PHI,W (+10),1,37:33,.546,.417,0.0,18.3,10.2,33.6,2.8,2.0,38.1,30.6,81,92,9.6,-2.8
3,3,2010-10-29,25-303,MIA,,ORL,W (+26),1,30:02,.540,.538,0.0,21.3,10.5,47.8,0.0,0.0,17.8,25.7,107,82,10.0,5.7
4,4,2010-10-31,25-305,MIA,@,NJN,W (+23),1,28:57,.579,.417,0.0,21.5,14.0,41.9,3.9,0.0,22.4,41.1,103,83,15.6,0.3
5,5,2010-11-02,25-307,MIA,,MIN,W (+32),1,32:26,.644,.583,0.0,0.0,0.0,49.8,3.0,2.2,6.1,22.9,149,100,23.7,11.5
6,6,2010-11-05,25-310,MIA,@,NOH,L (-3),1,41:12,.512,.406,0.0,21.5,10.5,44.8,3.9,1.8,13.3,25.8,107,101,20.6,10.4
7,7,2010-11-06,25-311,MIA,,NJN,W (+12),1,33:35,.632,.625,0.0,8.8,5.0,55.6,3.1,0.0,18.0,32.1,114,98,19.4,8.8
8,8,2010-11-09,25-314,MIA,,UTA,L (-2),1,46:44,.438,.278,5.2,22.2,13.9,52.3,1.1,4.6,8.1,24.8,112,109,22.8,7.2
9,9,2010-11-11,25-316,MIA,,BOS,L (-5),1,44:28,.570,.429,0.0,30.8,15.0,37.0,3.6,0.0,11.5,36.0,119,117,29.0,9.4
10,10,2010-11-13,25-318,MIA,,TOR,W (+9),1,39:20,.445,.381,2.9,3.1,3.0,44.4,2.7,0.0,10.4,33.9,103,113,17.6,3.8
11,11,2010-11-17,25-322,MIA,,PHO,W (+27),1,23:03,.613,.600,17.8,26.7,22.5,66.3,6.5,0.0,15.5,37.3,126,88,20.6,16.3
12,12,2010-11-19,25-324,MIA,,CHA,W (+8),1,39:29,.570,.520,0.0,6.8,3.0,31.3,2.6,0.0,12.5,37.5,107,94,20.6,9.9
13,13,2010-11-20,25-325,MIA,@,MEM,L (-2),1,42:06,.566,.522,0.0,8.6,4.3,49.3,1.3,0.0,13.5,37.4,112,116,21.7,6.0
14,14,2010-11-22,25-327,MIA,,IND,L (-16),1,41:34,.607,.500,0.0,12.8,6.6,40.6,1.2,0.0,22.6,30.5,100,103,15.5,3.8
15,15,2010-11-24,25-329,MIA,@,ORL,L (-9),1,40:44,.581,.528,2.6,17.3,8.8,20.1,1.3,0.0,12.2,27.6,112,118,17.0,4.3
16,16,2010-11-26,25-331,MIA,,PHI,W (+9),1,40:34,.504,.367,2.8,23.0,12.0,24.4,2.8,2.2,9.2,25.9,112,100,18.0,5.9
17,17,2010-11-27,25-332,MIA,@,DAL,L (-11),1,36:04,.449,.263,6.2,17.4,12.0,21.9,1.4,0.0,16.3,39.0,90,115,11.7,-4.4
18,18,2010-11-29,25-334,MIA,,WAS,W (+11),1,38:11,.657,.583,3.4,13.4,9.0,29.3,1.3,1.9,23.5,34.9,108,98,19.8,5.1
19,19,2010-12-01,25-336,MIA,,DET,W (+25),1,31:14,.567,.567,8.5,12.8,11.0,17.3,1.8,0.0,20.1,32.1,99,88,12.0,0.7
20,20,2010-12-02,25-337,MIA,@,CLE,W (+28),1,30:02,.656,.640,0.0,18.6,10.2,55.5,1.7,2.8,0.0,45.7,144,97,33.7,21.1
21,21,2010-12-04,25-339,MIA,,ATL,W (+12),1,37:19,.658,.500,0.0,19.6,11.1,18.7,1.5,2.0,10.7,26.4,128,91,19.7,8.9
22,22,2010-12-06,25-341,MIA,@,MIL,W (+10),1,38:41,.479,.469,0.0,16.2,9.0,28.3,1.4,2.0,5.3,23.8,110,88,12.5,5.4
23,23,2010-12-08,25-343,MIA,@,UTA,W (+13),1,39:26,.715,.675,3.7,19.7,12.2,41.5,0.0,0.0,8.0,28.8,157,113,28.6,14.4
24,24,2010-12-10,25-345,MIA,@,GSW,W (+22),1,30:43,.647,.639,0.0,21.4,12.0,55.4,1.8,2.6,17.2,35.3,120,92,21.7,12.5
25,25,2010-12-11,25-346,MIA,@,SAC,W (+21),1,35:11,.590,.579,4.0,21.2,14.8,15.0,2.9,0.0,12.4,31.9,113,86,19.0,5.4
26,26,2010-12-13,25-348,MIA,,NOH,W (+12),1,40:18,.490,.375,3.1,9.4,6.3,35.0,0.0,0.0,19.7,32.6,94,110,11.1,-3.6
27,27,2010-12-15,25-350,MIA,,CLE,W (+6),1,38:31,.458,.333,6.7,29.8,19.5,24.2,1.4,0.0,14.9,33.2,96,102,14.5,-2.5
28,28,2010-12-17,25-352,MIA,@,NYK,W (+22),1,38:13,.658,.674,3.5,25.1,16.1,45.8,1.3,0.0,17.1,34.1,123,94,27.0,10.5
29,29,2010-12-18,25-353,MIA,@,WAS,W (+1),1,40:31,.659,.553,3.0,14.8,9.4,35.0,1.2,0.0,14.1,32.5,123,101,24.4,7.9
30,30,2010-12-20,25-355,MIA,,DAL,L (-2),1,36:05,.473,.412,7.4,24.5,14.5,35.8,0.0,0.0,19.9,31.2,96,113,11.2,-1.2
31,31,2010-12-23,25-358,MIA,@,PHO,W (+12),1,37:23,.705,.636,3.3,14.6,9.3,25.3,4.3,0.0,16.4,37.2,127,88,26.8,16.5
32,32,2010-12-25,25-360,MIA,@,LAL,W (+16),1,38:11,.811,.750,2.9,28.6,15.9,50.4,5.8,0.0,5.7,22.9,163,82,33.3,28.7
33,33,2010-12-28,25-363,MIA,,NYK,W (+8),1,40:25,.491,.500,0.0,25.8,14.5,33.3,0.0,0.0,14.1,24.4,106,108,12.9,0.5
34,34,2010-12-29,25-364,MIA,@,HOU,W (+6),1,39:09,.597,.533,0.0,14.1,8.8,33.2,1.2,0.0,15.2,22.8,117,121,17.6,1.1
35,35,2011-01-01,26-002,MIA,,GSW,W (+7),1,41:31,.556,.467,5.9,14.5,10.2,43.0,1.2,1.9,11.8,27.9,122,113,23.1,3.8
36,36,2011-01-03,26-004,MIA,@,CHA,W (+14),1,36:34,.663,.615,0.0,24.6,14.6,37.9,1.5,0.0,9.5,43.6,131,91,28.8,14.6
37,37,2011-01-04,26-005,MIA,,MIL,W (+12),1,36:35,.630,.533,3.4,15.6,9.7,52.5,0.0,4.3,9.2,27.7,136,104,24.0,13.6
38,38,2011-01-07,26-008,MIA,@,MIL,W (+6),1,45:16,.467,.370,2.3,21.5,11.6,22.8,6.9,1.9,15.2,32.3,90,81,20.1,8.1
39,39,2011-01-09,26-010,MIA,@,POR,W (+7),1,46:11,.724,.712,9.8,23.4,17.8,27.0,2.4,0.0,16.5,40.5,128,100,35.1,14.1
40,40,2011-01-12,26-013,MIA,@,LAC,L (-6),1,39:44,.515,.521,5.3,17.3,11.0,30.6,0.0,0.0,10.3,32.6,105,119,17.4,2.0
41,,2011-01-13,26-014,MIA,@,DEN,L (-28),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
42,,2011-01-15,26-016,MIA,@,CHI,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,41,2011-01-18,26-019,MIA,,ATL,L (-4),1,44:17,.488,.400,5.4,19.1,12.7,56.5,2.6,0.0,14.7,46.2,98,98,20.5,7.6
44,42,2011-01-22,26-023,MIA,,TOR,W (+17),1,38:00,.540,.500,3.6,31.6,18.5,31.2,2.7,1.7,2.8,43.7,123,105,30.1,5.3
45,43,2011-01-27,26-028,MIA,@,NYK,L (-5),1,42:32,.410,.292,5.4,19.5,13.2,25.5,2.5,4.5,12.0,36.3,89,97,15.0,2.3
46,44,2011-01-28,26-029,MIA,,DET,W (+1),1,44:19,.663,.640,0.0,17.3,10.2,58.2,1.3,3.2,9.3,38.3,131,103,34.0,20.4
47,45,2011-01-30,26-031,MIA,@,OKC,W (+5),1,40:13,.610,.571,0.0,11.1,5.8,50.6,5.1,5.4,17.5,25.0,125,103,25.6,16.1
48,46,2011-01-31,26-032,MIA,,CLE,W (+27),1,31:22,.637,.500,3.6,9.6,6.7,37.9,0.0,4.4,9.6,28.1,141,100,22.8,13.2
49,47,2011-02-03,26-035,MIA,@,ORL,W (+4),1,42:39,.785,.740,6.3,19.5,14.1,53.4,1.3,2.2,8.5,40.8,153,110,46.7,26.4
50,48,2011-02-04,26-036,MIA,@,CHA,W (+12),1,36:39,.607,.538,4.2,24.1,15.2,34.8,0.0,0.0,16.1,25.9,126,118,17.2,0.2
51,49,2011-02-06,26-038,MIA,,LAC,W (+18),1,35:37,.378,.400,3.1,15.0,9.2,20.8,5.8,0.0,27.4,28.8,66,79,5.3,-5.4
52,50,2011-02-08,26-040,MIA,,IND,W (+5),1,41:44,.714,.696,9.6,31.1,20.5,34.4,3.7,1.8,12.2,35.4,139,112,39.3,17.8
53,51,2011-02-11,26-043,MIA,@,DET,W (+14),1,34:43,.437,.412,0.0,24.6,14.0,48.8,6.2,0.0,14.1,28.4,101,92,16.9,6.0
54,52,2011-02-13,26-045,MIA,@,BOS,L (-3),1,43:28,.493,.476,2.8,16.2,9.5,38.7,1.3,0.0,15.2,29.3,95,98,14.5,5.5
55,53,2011-02-15,26-047,MIA,@,IND,W (+7),1,40:55,.596,.575,2.7,11.5,7.4,19.5,2.4,3.5,18.1,28.8,106,102,20.3,6.7
56,54,2011-02-16,26-048,MIA,@,TOR,W (+8),1,37:38,.513,.444,9.6,25.5,18.4,39.6,0.0,0.0,18.2,32.9,101,102,17.7,1.0
57,55,2011-02-22,26-054,MIA,,SAC,W (+20),1,30:24,.567,.596,9.6,21.5,16.4,16.4,0.0,0.0,9.9,46.1,110,107,17.9,0.6
58,56,2011-02-24,26-056,MIA,@,CHI,L (-4),1,41:26,.613,.571,0.0,25.2,12.6,32.0,2.5,1.9,7.8,28.9,118,94,25.5,14.7
59,57,2011-02-25,26-057,MIA,,WAS,W (+8),1,42:46,.646,.455,3.1,20.9,12.8,22.2,1.2,5.0,4.9,21.6,141,112,27.0,9.1
60,58,2011-02-27,26-059,MIA,,NYK,L (-5),1,39:08,.574,.525,0.0,19.5,10.1,31.1,3.9,2.5,17.5,34.4,98,90,19.7,8.2
61,59,2011-03-03,26-063,MIA,,ORL,L (-3),1,39:56,.760,.688,6.5,13.7,10.0,22.1,0.0,5.7,9.5,25.3,147,120,26.2,14.0
62,60,2011-03-04,26-064,MIA,@,SAS,L (-30),1,36:08,.589,.605,9.7,17.0,13.3,41.5,1.4,0.0,15.3,34.4,109,132,20.2,5.7
63,61,2011-03-06,26-066,MIA,,CHI,L (-1),1,41:50,.630,.583,10.1,17.9,13.9,32.0,2.7,0.0,8.8,27.6,129,103,24.0,13.8
64,62,2011-03-08,26-068,MIA,,POR,L (-9),1,45:32,.712,.750,3.8,28.5,17.8,37.9,1.3,0.0,15.5,29.1,127,123,26.5,9.8
65,63,2011-03-10,26-070,MIA,,LAL,W (+6),1,42:16,.473,.412,2.7,19.4,10.9,35.2,1.4,0.0,4.7,23.0,127,107,17.8,7.1
66,64,2011-03-12,26-072,MIA,,MEM,W (+33),1,31:55,.724,.688,4.9,12.8,9.6,30.1,1.7,4.1,13.9,34.2,131,94,23.8,9.5
67,65,2011-03-14,26-074,MIA,,SAS,W (+30),1,41:31,.495,.421,0.0,15.1,8.7,28.2,0.0,3.9,8.6,26.9,108,91,16.5,1.7
68,66,2011-03-16,26-076,MIA,,OKC,L (-11),1,39:30,.426,.381,0.0,20.3,10.7,18.0,1.4,1.8,4.3,28.0,90,105,12.7,2.3
69,67,2011-03-18,26-078,MIA,@,ATL,W (+21),1,30:54,.893,.881,0.0,6.6,4.0,35.5,0.0,0.0,14.2,44.3,143,100,32.2,23.2
70,68,2011-03-19,26-079,MIA,,DEN,W (+5),1,40:40,.638,.620,0.0,18.6,10.3,12.9,2.6,0.0,16.2,38.1,105,108,20.5,1.1
71,69,2011-03-23,26-083,MIA,@,DET,W (+6),1,42:05,.535,.500,9.2,16.8,12.9,36.5,0.0,0.0,14.5,25.7,111,115,14.9,-0.8
72,70,2011-03-25,26-085,MIA,,PHI,W (+12),1,41:01,.763,.676,6.0,22.8,14.6,8.3,3.7,1.7,16.0,26.5,138,101,28.2,10.3
73,71,2011-03-27,26-087,MIA,,HOU,W (+6),1,40:27,.661,.619,2.9,26.7,14.7,27.2,0.0,0.0,7.4,27.4,143,122,28.6,9.5
74,72,2011-03-29,26-089,MIA,@,CLE,L (-12),1,43:17,.531,.500,0.0,39.6,15.0,60.7,0.0,0.0,10.6,31.6,111,117,21.9,5.7
75,73,2011-03-30,26-090,MIA,@,WAS,W (+16),1,43:49,.806,.781,3.5,19.7,12.5,31.5,6.0,0.0,18.7,28.9,139,108,34.6,11.1
76,74,2011-04-01,26-092,MIA,@,MIN,W (+19),1,42:53,.585,.550,6.8,10.2,8.7,37.7,3.5,1.9,11.5,27.0,123,93,26.1,10.1
77,75,2011-04-03,26-094,MIA,@,NJN,W (+14),1,38:55,.720,.722,7.7,23.1,17.0,33.3,3.9,0.0,24.5,33.8,116,93,26.6,10.6
78,76,2011-04-06,26-097,MIA,,MIL,L (-5),1,39:25,.568,.523,2.8,3.3,3.0,54.7,2.9,4.3,13.6,36.2,114,104,22.0,14.8
79,77,2011-04-08,26-099,MIA,,CHA,W (+9),1,37:23,.617,.563,4.8,19.3,13.4,42.1,2.8,1.8,5.1,25.1,134,108,24.7,9.8
80,78,2011-04-10,26-101,MIA,,BOS,W (+23),1,37:11,.588,.579,0.0,21.5,9.5,38.0,6.2,2.5,14.8,33.6,114,83,23.2,15.4
81,79,2011-04-11,26-102,MIA,@,ATL,W (+8),1,42:39,.626,.524,3.8,23.6,15.4,31.8,3.9,0.0,20.5,39.8,114,96,26.4,7.8
