Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2020-12-22,35-358,LAL,,LAC,L (-7),1,28:21,.548,.500,9.2,10.6,10.0,32.4,0.0,0.0,16.6,35.9,104,115,13.1,3.2
2,2,2020-12-25,35-361,LAL,,DAL,W (+23),1,31:24,.557,.528,3.7,23.5,13.4,39.4,1.5,0.0,16.8,30.9,125,118,18.7,3.4
3,3,2020-12-27,35-363,LAL,,MIN,W (+36),1,26:12,.560,.500,0.0,28.4,17.5,23.5,1.7,0.0,19.9,32.0,99,80,13.3,-1.9
4,4,2020-12-28,35-364,LAL,,POR,L (-8),1,35:55,.653,.625,6.1,22.3,14.0,30.5,2.7,2.9,11.9,30.9,123,111,25.6,13.3
5,5,2020-12-30,36-000,LAL,@,SAS,W (+14),1,35:13,.516,.500,0.0,14.5,7.9,35.2,1.4,2.2,7.4,34.4,112,106,19.9,3.3
6,6,2021-01-01,36-002,LAL,@,SAS,W (+6),1,35:41,.518,.432,2.5,26.9,14.4,44.5,2.7,0.0,13.8,32.3,111,100,22.5,10.0
7,7,2021-01-03,36-004,LAL,@,MEM,W (+14),1,32:00,.635,.656,0.0,38.2,19.7,43.6,1.6,0.0,10.4,27.0,126,93,21.3,13.0
8,8,2021-01-05,36-006,LAL,@,MEM,W (+2),1,34:05,.610,.575,6.7,29.3,18.8,43.8,1.4,2.3,22.0,35.4,104,92,21.4,10.1
9,9,2021-01-07,36-008,LAL,,SAS,L (-9),1,34:54,.680,.667,0.0,18.3,9.4,51.6,0.0,0.0,16.8,30.3,129,123,23.1,12.2
10,10,2021-01-08,36-009,LAL,,CHI,W (+2),1,34:09,.571,.524,0.0,24.0,11.9,38.5,0.0,0.0,14.0,37.2,112,120,19.5,-0.5
11,11,2021-01-10,36-011,LAL,@,HOU,W (+18),1,30:21,.510,.500,4.0,18.2,12.0,31.7,1.5,3.2,10.2,26.4,111,98,15.4,3.4
12,12,2021-01-12,36-013,LAL,@,HOU,W (+17),1,29:11,.597,.600,3.8,21.3,13.6,32.2,0.0,2.9,18.7,38.0,104,100,17.2,3.3
13,13,2021-01-13,36-014,LAL,@,OKC,W (+29),1,27:29,.597,.575,0.0,22.3,11.4,39.1,0.0,0.0,8.4,36.5,125,106,19.1,9.2
14,14,2021-01-15,36-016,LAL,,NOP,W (+17),1,30:30,.746,.636,3.1,26.9,13.8,58.6,1.6,0.0,17.6,24.3,143,99,23.0,13.6
15,15,2021-01-18,36-019,LAL,,GSW,L (-2),1,37:58,.487,.438,0.0,14.7,7.7,19.5,1.3,0.0,20.4,27.3,91,116,9.6,-4.8
16,16,2021-01-21,36-022,LAL,@,MIL,W (+7),1,38:04,.657,.640,2.7,17.0,9.0,41.0,1.3,2.1,10.4,34.8,124,109,27.4,12.0
17,17,2021-01-23,36-024,LAL,@,CHI,W (+11),1,28:30,.435,.375,0.0,39.4,21.3,39.0,3.3,0.0,23.5,38.8,76,79,10.1,0.2
18,18,2021-01-25,36-026,LAL,@,CLE,W (+7),1,38:07,.856,.865,0.0,25.2,12.0,41.8,2.7,3.9,10.0,33.5,156,107,41.6,29.7
19,19,2021-01-27,36-028,LAL,@,PHI,L (-1),1,38:32,.633,.591,0.0,19.7,10.0,33.5,0.0,0.0,10.1,34.4,122,111,24.7,10.8
20,20,2021-01-28,36-029,LAL,@,DET,L (-15),1,35:45,.541,.526,6.0,18.1,11.5,53.2,1.5,0.0,9.0,28.7,120,116,19.6,11.6
21,21,2021-01-30,36-031,LAL,@,BOS,W (+1),1,37:21,.547,.529,2.8,18.8,10.3,32.1,0.0,2.1,20.7,29.2,101,105,13.0,4.2
22,22,2021-02-01,36-033,LAL,@,ATL,W (+8),1,37:58,.624,.500,0.0,26.8,13.2,33.8,2.7,2.6,10.6,24.2,127,104,22.9,10.9
